repetition,b,periods,memory,G,N,fixation_threshold,winner,generation,cor_prop_fit,cor_prop_reput,cor_reput_fit
2,25,24,12,6,240,0.99,S,3057,0.11910424611483829,0.43706505320884176,0.4560348411436967
2,25,24,12,12,72,0.99,GR,330,0.45321985737496573,0.6736617288052534,0.7987776148645555
2,25,24,12,12,240,0.99,GR,730,0.44205323516652084,0.6825087241383012,0.7817744292737913
2,25,24,24,6,72,0.99,S,1472,0.1513795825430322,0.7387911449381345,0.42139973785485085
2,25,24,24,6,240,0.99,S,1099,0.012375047148870152,0.7703171193608546,0.27926609586938606
2,25,24,24,12,72,0.99,GR,376,0.3186902044042995,0.7401826727805071,0.6557648518930419
2,25,24,24,12,240,0.99,GR,2885,0.415806197085782,0.7427862151051214,0.782388409651595
2,25,48,12,6,72,0.99,GR,389,0.4363943366030359,0.5416141569955348,0.7285183780601148
2,25,48,12,6,240,0.99,S,2792,0.15967630455583987,0.3342051357465809,0.43930791550718434
2,25,48,12,12,72,0.99,GR,617,0.3749922934754255,0.4854729496968658,0.6508173596355449
2,25,48,12,12,240,0.99,GR,658,0.5072324331992046,0.6321482301600254,0.8594650357070641
2,25,48,24,6,72,0.99,GR,419,0.46321736167545885,0.6959411501280842,0.7733042531760408
2,25,48,24,6,240,0.99,S,1296,0.11767689352516605,0.46796504488624246,0.5859256941199045
2,25,48,24,12,72,0.99,GR,179,0.4150141455006253,0.6831294467508433,0.8108076164266746
2,25,48,24,12,240,0.99,S,2837,0.29858000601117035,0.5166171011634824,0.7031360533466389
3,5,24,12,6,72,0.99,GR,437,0.4851352038325433,0.7000771542012244,0.7988200222884914
3,5,24,12,6,240,0.99,S,587,0.18342110701240602,0.5200601056156279,0.5588283569117607
3,5,24,12,12,72,0.99,S,557,0.23739143684051417,0.5625831452098489,0.7007319720298277
3,5,24,12,12,240,0.99,S,893,0.20719573203424665,0.3693393748680138,0.48935682423798504
3,5,24,24,6,72,0.99,S,317,0.11533029435396486,0.7089181704054223,0.426321497535816
3,5,24,24,6,240,0.99,S,644,7.742926191585775e-4,0.7926620120848215,0.24266307922172714
3,5,24,24,12,72,0.99,S,332,0.06846866056146265,0.8642203358433252,0.22004581730902414
3,5,24,24,12,240,0.99,S,1376,0.15812692627998495,0.7504446365333614,0.46632332371837765
3,5,48,12,6,72,0.99,S,670,0.29708023273227296,0.47115483393108826,0.5308406439865733
3,5,48,12,6,240,0.99,S,1175,0.047759495681832506,0.28968253214478784,0.3530522366256067
3,5,48,12,12,72,0.99,S,1188,0.1704646044396978,0.41097310631261014,0.5877254887600605
3,5,48,12,12,240,0.99,S,852,0.12170945014647154,0.3006145738690298,0.4084400883174934
3,5,48,24,6,72,0.99,S,1355,0.14627801218249037,0.5443962841614336,0.6531329331266614
3,5,48,24,6,240,0.99,S,724,0.17436097555335692,0.39335635551729053,0.47272096596871643
3,5,48,24,12,72,0.99,S,525,0.09866150304823268,0.44154490186910705,0.712248089103351
3,5,48,24,12,240,0.99,S,910,0.1607891676490573,0.42991092347950133,0.5606225777642253
3,25,24,12,6,72,0.99,GR,744,0.3001401066465474,0.6271127568468984,0.6296039190237157
3,25,24,12,6,240,0.99,S,1930,0.2194355382862725,0.4454389247105494,0.48847044584978666
3,25,24,12,12,72,0.99,GR,325,0.4048504345725252,0.6311718463005163,0.7938867704852931
3,25,24,12,12,240,0.99,S,1078,-0.016716927319697743,0.38061716380075206,0.5139481825982708
3,25,24,24,6,72,0.99,GR,833,0.30461481513798794,0.6979919691138738,0.6588677697118114
3,25,24,24,6,240,0.99,S,722,0.07535937625342565,0.6956856686935182,0.36614328478762215
3,25,24,24,12,72,0.99,GR,425,0.47568199101653486,0.7313111641691352,0.7313694281066753
3,25,24,24,12,240,0.99,GR,1237,0.40102204063402247,0.7164205401049647,0.7905580026778449
3,25,48,12,6,72,0.99,GR,350,0.5126658690143795,0.6376334017229002,0.7760321176402052
3,25,48,12,6,240,0.99,S,1727,0.14805713293902567,0.29822422110404107,0.39997604986606217
3,25,48,12,12,72,0.99,GR,468,0.48588116739121595,0.5108325838069211,0.7460146653390018
3,25,48,12,12,240,0.99,GR,1393,0.4536958692975548,0.5743310689553958,0.7995893460671092
3,25,48,24,6,72,0.99,GR,714,0.2741885902443504,0.5742840164399106,0.7017071822232696
3,25,48,24,6,240,0.99,S,1196,-0.007086414836448982,0.3545888263539291,0.396968468647547
3,25,48,24,12,72,0.99,GR,110,0.4609774021658876,0.6758083084712644,0.8562043715286155
3,25,48,24,12,240,0.99,S,2297,0.2825807152657594,0.49836046085771896,0.6764168763216746
4,5,24,12,6,72,0.99,S,423,0.05006435662761421,0.3876365476312832,0.4627730543005328
4,5,24,12,6,240,0.99,S,733,0.15690183048427817,0.4601117144987206,0.49244014664661007
4,5,24,12,12,72,0.99,GR,1103,0.39825172477893495,0.6417394373500195,0.781328306029108
4,5,24,12,12,240,0.99,S,1051,0.12972383379370395,0.37974988789058134,0.4854636817894723
