140603_1201,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,InGroup,input_self[1],input_self[2],input_self[3],input_self[4],input_self[5],input_self[6],input_other[1],input_other[2],input_other[3],input_other[4],input_other[5],input_other[6],chosen_option[1],chosen_option[2],chosen_option[3],chosen_option[4],chosen_option[5],chosen_option[6],item_order[1],item_order[2],item_order[3],item_order[4],item_order[5],item_order[6],random_numbers[1],random_numbers[2],random_numbers[3],random_numbers[4],random_numbers[5],random_numbers[6],all_unique,item_rank,svoGroup,Role,raven1,raven2,raven3,raven4,raven5,Q1,Q2,Q3,Q4,Q5,GroupCorrect1,GroupCorrect2,GroupCorrect3,GroupCorrect4,GroupCorrect5,ravenfeedback1,ravenprofit,Pair,RoleTrust,TrustGame,TrustGameResponder,trustfeedback1,% Sent back,trustprofit,Trio,RoleDictator,Allocation,dictatorprofit,AllocationDummy,TimeOKColorOK,TimeChatGroup1raven1OK,TimeChatGroupraven2OK,TimeChatGroupraven3OK,TimeChatGroupraven4OK,TimeChatGroupraven5OK,checker1,checker2,checker3,counter,fakepropose,fakerespond,TimePracticeTrustOK,TimeAEPracticeTrustOK,TimeTrustGameProposeOK,TimeAETrustGameResponseOK,Other1,Other2,Other1Team,Other2Team,Other1Num,Other2Num,TimeDictatorAllocateOK,random_dict,Dictator_roundpay,Dictator_team,Dictator_num,random_round,DictatorProfit,SelectedTeam,SelectedNum,TimeAECalculateDictatorOK,item_num,self[1],self[2],self[3],self[4],self[5],self[6],self[7],self[8],self[9],other[1],other[2],other[3],other[4],other[5],other[6],other[7],other[8],other[9],option,LeaveStage,TimeSVOItemsOK,TimeKillSVOItemsOK,mean_to_self,mean_to_other,k,svo_angle,svo_type,avg_dist_to_equality,avg_dist_to_altruist,avg_dist_to_joint,avg_dist_to_indiv,j,not_altru_indiv,inequality_aversion_score,payed_slider,svoProfit,kept_of_sender,received_from_sender,TimeSummaryOK,q1,q2,q3,q4,q5,TimeOKCollectivismOK,totalpayoff,ToPay,TimeFinalFeedbackOK,
140603_1201,2,subjects,1,21,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,4,2,5,0.195516762,0.265158604,0.827944211,0.479236918,0.258348401,0.552348283,1,1,12,2,0,6,6,2,6,0,0,10,10,10,0,0,5,0,5,-1,40,9,2,200,300,-1,,300,3,3,35,0,35,28,0,23,50,42,2,1,0,0,4,0,0,99999,99999,27,24,1,2,1,3,3,1,-5,1,35,1,3,5,0,0,0,-,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,340,68,-,
140603_1201,2,subjects,1,22,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,6,4,0.666905711,0.829843739,0.317590886,0.615685604,0.972426112,0.773008177,1,1,12,1,1,4,6,3,6,10,10,10,0,10,0,0,5,0,5,-1,50,10,2,0,0,-1,,0,4,3,70,0,0,28,8,2,10,0,1,1,0,0,4,0,0,99999,99999,8,21,1,2,1,3,4,2,-22,1,35,1,4,2,0,0,0,-,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,50,10,-,
140603_1201,2,subjects,1,23,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,2,4,1,0.817376453,0.694618618,0.171025862,0.050225904,0.457901285,0.009972906,1,1,11,2,1,6,6,0,6,10,0,10,0,10,0,0,5,0,5,-1,40,11,2,150,150,-1,,300,7,3,35,0,35,29,15,0,1,0,1,0,1,1,16,200,150,99999,99999,23,24,1,2,3,5,3,3,0,1,25,3,3,4,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,340,68,-,
140603_1201,2,subjects,1,24,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,6,3,1,0.288113339,0.048599806,0.766792641,0.960451038,0.146772474,0.009306743,1,1,11,1,1,0,6,2,6,10,0,10,10,10,0,0,5,0,5,-1,50,12,2,100,150,-1,,150,8,3,20,0,50,26,8,0,14,2,10,1,0,0,4,0,0,99999,99999,26,8,1,2,3,5,4,4,1,1,35,3,4,4,0,0,0,-,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,200,40,-,
140603_1201,2,subjects,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,6,3,0.259251411,0.147808535,0.746655508,0.375115343,0.754819971,0.327338789,1,1,2,2,0,1,6,3,6,0,0,10,0,10,0,0,5,0,0,-1,25,1,1,0,0,-1,,200,7,1,35,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,5,3,1,18,2,35,3,3,3,0,0,0,-,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,225,45,-,
140603_1201,2,subjects,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,4,6,0.492303591,0.578663999,0.458768337,0.930522919,0.695791869,0.946257313,1,1,2,1,1,1,6,2,5,10,0,10,10,0,0,0,5,0,0,-1,35,2,1,0,0,-1,,200,8,1,35,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,5,4,2,21,2,20,3,4,1,30,1,2,-,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,265,53,-,
140603_1201,2,subjects,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,2,5,1,0.924451892,0.409808178,0.282719209,0.254605094,0.661737678,0.218049314,1,1,1,2,1,1,6,2,6,10,0,10,10,10,0,0,5,0,0,-1,45,3,1,0,0,-1,,200,1,1,50,0,20,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,4,1,3,-5,2,35,3,1,2,35,3,1,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,280,56,-,
140603_1201,2,subjects,2,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,6,1,0.298701893,0.216976701,0.338428092,0.659325215,0.750362255,0.155867158,1,1,1,1,0,3,6,0,6,0,0,10,0,10,0,0,5,0,0,-1,25,4,1,0,0,-1,,200,2,1,35,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,3,4,2,4,-1,2,35,3,2,1,30,1,4,-,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,255,51,-,
140603_1201,2,subjects,2,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,2,1,5,0.825153295,0.559591635,0.603181461,0.410387164,0.07272071,0.816934493,1,1,4,2,1,0,6,3,8,10,0,10,0,0,0,0,5,0,0,-1,25,5,1,0,0,-1,,200,3,1,35,0,35,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,4,6,1,3,11,2,35,4,1,5,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,225,45,-,
140603_1201,2,subjects,2,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,4,1,3,0.990394927,0.917591507,0.203193474,0.654236429,0.061572664,0.238467931,1,1,4,1,0,0,6,3,8,0,0,10,0,0,0,0,5,0,0,-1,15,6,1,0,0,-1,,200,4,1,40,0,30,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,2,3,4,6,2,4,6,2,35,4,2,5,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,3,0,0,0,-,-1,-1,-1,-1,-1,-,215,43,-,
