sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
115,2,2,19,5,0,0,7,2,3,9,2,3,7,450,35,1,2,5,1,30,5,3,30,5,3,0,0,0,-99,3,0,0,0,530,89,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,0,1,0,0,0,1,2,0,,,.41666666,,0
115,3,1,19,5,0,0,7,2,3,9,2,3,3,450,35,1,2,1,3,35,1,3,0,0,0,0,0,0,-99,1,0,0,0,500,84,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,1,0,0,0,1,0,3,,,,.41666666,,1
115,3,2,19,5,0,0,7,2,3,9,2,3,3,450,35,1,2,2,2,35,1,3,0,0,0,0,0,0,-99,1,0,0,0,500,84,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,1,0,0,0,0,1,0,3,,,,.41666666,,1
115,4,1,19,5,0,0,7,2,3,9,2,3,7,450,35,1,2,3,3,30,5,3,30,5,3,0,0,0,-99,3,0,0,0,530,89,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,0
115,4,2,19,5,0,0,7,2,3,9,2,3,7,450,35,1,2,3,4,30,5,3,30,5,3,0,0,0,-99,3,0,0,0,530,89,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,0
115,5,1,19,5,0,0,7,2,3,9,2,2,6,450,35,3,1,6,1,30,5,3,30,5,3,0,0,0,-99,1,0,0,0,530,89,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,1
115,5,2,19,5,0,0,7,2,3,9,2,2,6,450,35,3,1,3,1,30,5,3,30,5,3,0,0,0,-99,1,0,0,0,530,89,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,1
115,6,1,19,5,0,0,7,2,3,9,2,2,1,450,35,3,1,6,2,40,2,2,30,5,3,168.333333333333,151.666666666666,0,-99,2,100,200,100,630,105,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,0,1,0,0,0,1,0,3,,,,.41666666,,0
115,6,2,19,5,0,0,7,2,3,9,2,2,1,450,35,3,1,2,2,40,2,2,30,5,3,168.333333333333,151.666666666666,0,-99,2,100,200,100,630,105,5,29,4,2,41.467705,2,150,0,0,0,2,3,0,0,1,0,0,0,0,1,0,3,,,,.41666666,,0
116,1,1,20,5,0,0,8,2,4,9,1,2,3,30,35,3,1,6,3,35,6,3,0,0,0,0,0,0,-99,3,0,0,0,60,10,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,,20,12.5,.41666666,,0
