sid,period,recipient,sessionid,subject,group,profit,totalprofit,pair,roletrust,numingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,collectivism,sent,returned,kindness,norsent,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,ingroup,otheringroup,conddirect,condgrec,condin,condition,_est_disc_senders,_est_discrimination,_est_disc_responders,subdisc,inbiasround,inbias,groupbias,groupkindness,groupsend,history,baseline,falsebaseline,indcondition
38,5,2,140610_1226,14,4,0,0,2,Responder,2,8,1,2,1,55,35,3,1,3,4,30,4,2,35,6,2,0,0,0,-99,4,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
38,6,1,140610_1226,14,4,0,0,2,Responder,2,8,1,2,5,55,35,3,1,6,3,0,6,3,30,4,2,179.166666666667,125.833333333333,0,-99,4,135,0,0,280,47,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
38,6,2,140610_1226,14,4,0,0,2,Responder,2,8,1,2,5,55,35,3,1,3,3,0,6,3,30,4,2,179.166666666667,125.833333333333,0,-99,4,135,0,0,280,47,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
39,1,1,140610_1226,15,4,0,0,3,Responder,3,7,2,2,8,350,69,3,1,4,4,35,4,4,0,0,0,0,0,0,-99,2,0,0,0,410,69,2,10,4,4,34.868885,2,6,150,100,.22222222,1,68,1,3,0,0,0,0,1,0,0,0,1,In-Group,0,1,1,68,68,68,17,.2013889,,1,0,0,In-Group
39,1,2,140610_1226,15,4,0,0,3,Responder,3,7,2,2,8,350,1,3,1,2,4,35,4,4,0,0,0,0,0,0,-99,2,0,0,0,410,69,2,10,4,4,34.868885,2,6,150,100,.22222222,1,68,1,3,0,0,0,0,0,1,0,0,1,In-Group,0,1,1,68,68,68,17,.2013889,,1,1,1,Baseline
39,2,1,140610_1226,15,4,0,0,3,Responder,3,7,2,3,5,350,60,1,2,1,3,0,1,3,35,4,4,0,0,0,-99,5,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,50,1,3,1,0,0,0,0,0,1,0,0,Direct,0,1,1,50,,,,.2013889,,1,0,0,Direct
39,2,2,140610_1226,15,4,0,0,3,Responder,3,7,2,3,5,350,10,1,2,2,1,0,1,3,35,4,4,0,0,0,-99,5,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,50,1,3,0,1,0,0,0,0,1,0,0,Direct,0,1,1,50,,,,.2013889,,1,1,1,Baseline
39,3,1,140610_1226,15,4,0,0,3,Responder,3,7,2,1,8,350,35,2,3,6,2,0,6,3,35,4,4,0,0,0,-99,1,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,0,1,3,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
39,3,2,140610_1226,15,4,0,0,3,Responder,3,7,2,1,8,350,35,2,3,6,3,0,6,3,35,4,4,0,0,0,-99,1,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,0,1,3,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
39,4,1,140610_1226,15,4,0,0,3,Responder,3,7,2,3,1,350,50,1,2,1,4,35,2,3,35,2,3,0,0,0,-99,6,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,30,1,3,0,0,1,0,0,0,0,1,0,Group,0,1,1,30,,,,.2013889,,0,0,0,Group
39,4,2,140610_1226,15,4,0,0,3,Responder,3,7,2,3,1,350,20,1,2,2,3,35,2,3,35,2,3,0,0,0,-99,6,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,30,1,3,0,0,0,1,0,0,0,1,0,Group,0,1,1,30,,,,.2013889,,0,1,1,Baseline
39,5,1,140610_1226,15,4,0,0,3,Responder,3,7,2,2,4,350,20,3,1,5,1,30,4,3,35,4,4,0,0,0,-99,4,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,30,1,3,0,0,0,1,0,0,0,1,0,Group,0,1,1,,,,,.2013889,,0,1,1,Baseline
39,5,2,140610_1226,15,4,0,0,3,Responder,3,7,2,2,4,350,50,3,1,1,1,30,4,3,35,4,4,0,0,0,-99,4,0,0,0,445,75,2,10,4,4,34.868885,2,6,150,100,.22222222,1,30,1,3,0,0,1,0,0,0,0,1,0,Group,0,1,1,,,,,.2013889,,0,0,0,Group
